rank,source_label,target_label,source_gid,target_gid,group_size,seqs,videos,mean_score,min_score,mean_centroid_margin,mean_neighbor_margin,sum_conflicts,assignments_out
1,4,0,96000004,96000000,1,[2354],"[""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6""]",1.026054,1.026054,0.358527,0.251735,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank01_feature_outlier_s4_to0_1seq_assignments.csv
2,14,30,96000015,96000032,1,[9202],"[""vlincs_MS01_MC0001_MCAM08_2024-03-Tc6""]",0.961209,0.961209,0.218972,0.232241,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank02_feature_outlier_s14_to30_1seq_assignments.csv
3,86,91,960000350,960000483,1,[685],"[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6""]",0.960354,0.960354,0.248487,0.134501,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank03_feature_outlier_s86_to91_1seq_assignments.csv
4,45,26,96000049,96000028,1,[9343],"[""vlincs_MS01_MC0001_MCAM08_2024-03-Tc6""]",0.95308,0.95308,0.154551,0.16801,4,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank04_feature_outlier_s45_to26_1seq_assignments.csv
5,20,3,96000022,96000003,1,[5628],"[""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6""]",0.953053,0.953053,0.296457,0.140114,2,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank05_feature_outlier_s20_to3_1seq_assignments.csv
6,86,91,960000350,960000483,2,"[685, 1548]","[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6""]",0.952902,0.94545,0.248355,0.131068,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank06_feature_outlier_s86_to91_2seq_assignments.csv
7,86,37,960000350,96000040,1,[4043],"[""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6""]",0.934589,0.934589,0.164356,0.213102,3,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank07_feature_outlier_s86_to37_1seq_assignments.csv
8,87,91,960000351,960000483,1,[1123],"[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6""]",0.924529,0.924529,0.159558,0.151193,1,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank08_feature_outlier_s87_to91_1seq_assignments.csv
9,3,29,96000003,96000031,1,[1498],"[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6""]",0.912528,0.912528,0.217122,0.088378,1,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank09_feature_outlier_s3_to29_1seq_assignments.csv
10,83,34,960000203,96000037,1,[7659],"[""vlincs_MS01_MC0001_MCAM08_2024-03-Tc6""]",0.911562,0.911562,0.205325,0.307519,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank10_feature_outlier_s83_to34_1seq_assignments.csv
